Time,Sensor 1,Sensor 2,Type,Concentration
1,0.367444555,0.346369078,4,0.2
2,0.367025956,0.346139037,4,0.2
3,0.366710081,0.346358837,4,0.2
4,0.366972884,0.346243662,4,0.2
5,0.367218653,0.346054582,4,0.2
6,0.367115988,0.345967991,4,0.2
7,0.366944354,0.345803198,4,0.2
8,0.366885764,0.345363818,4,0.2
9,0.366251153,0.345226016,4,0.2
10,0.365849983,0.345039816,4,0.2
11,0.366146986,0.345344949,4,0.2
12,0.366214256,0.345331812,4,0.2
13,0.366243298,0.345295533,4,0.2
14,0.366169995,0.34525312,4,0.2
15,0.366158611,0.344974531,4,0.2
16,0.365814754,0.344646505,4,0.2
17,0.364898988,0.344804583,4,0.2
18,0.365059985,0.345170613,4,0.2
19,0.365083795,0.345326372,4,0.2
20,0.365038097,0.345477706,4,0.2
21,0.364866334,0.34556748,4,0.2
22,0.364840386,0.345763647,4,0.2
23,0.364207562,0.345552793,4,0.2
24,0.363843949,0.345775773,4,0.2
25,0.363612779,0.346411659,4,0.2
26,0.364071062,0.346801698,4,0.2
27,0.364212501,0.347177516,4,0.2
28,0.364295692,0.347543689,4,0.2
29,0.364371441,0.347884075,4,0.2
30,0.3643144,0.348432202,4,0.2
31,0.363741002,0.348352378,4,0.2
32,0.363434613,0.348998167,4,0.2
33,0.363862308,0.349649952,4,0.2
34,0.364118642,0.350277172,4,0.2
35,0.364361849,0.35076932,4,0.2
36,0.36461738,0.351398412,4,0.2
37,0.364838981,0.351604577,4,0.2
38,0.364393651,0.35209955,4,0.2
39,0.364295872,0.35266948,4,0.2
40,0.36492784,0.353789029,4,0.2
41,0.365470216,0.354493657,4,0.2
42,0.365948795,0.355220561,4,0.2
43,0.366325393,0.355932583,4,0.2
44,0.366698598,0.356786883,4,0.2
45,0.366780564,0.357168919,4,0.2
46,0.367075392,0.357891013,4,0.2
47,0.367438274,0.359125779,4,0.2
48,0.368683881,0.359971122,4,0.2
49,0.369326073,0.360787559,4,0.2
50,0.370108064,0.361723044,4,0.2
51,0.371071826,0.362571187,4,0.2
52,0.371963677,0.363389572,4,0.2
53,0.37203892,0.363830696,4,0.2
54,0.372597421,0.365019368,4,0.2
55,0.373852755,0.366077831,4,0.2
56,0.375046041,0.367049962,4,0.2
57,0.376173803,0.368006569,4,0.2
58,0.37731818,0.368991443,4,0.2
59,0.378500594,0.369511518,4,0.2
60,0.379120769,0.370487435,4,0.2
61,0.379974586,0.371432686,4,0.2
62,0.381524787,0.372841029,4,0.2
63,0.382943033,0.373907887,4,0.2
64,0.384437174,0.37495053,4,0.2
65,0.385800729,0.375947992,4,0.2
66,0.387243639,0.376965451,4,0.2
67,0.388185897,0.377559048,4,0.2
68,0.389308507,0.378492583,4,0.2
69,0.390494831,0.379962596,4,0.2
